username: 52150, Experiment time (minutes): 59
Operating system: Windows 7
Manufacturer: Adobe Windows
Player type: PlugIn
Version: WIN 10,3,181,14

username	blkNum	trlNum	Rect1Height	Rect1Width	Rect2Height	Rect2Width	Rect3Height	Rect3Width	Effect	StimType	StimPosition	rawResp	response	RT
52150	0	1	59.000	  59.000	  58.000	  52.224	  60.000	  49.917	Fill3	R	5	51	1	1550
52150	0	2	47.671	  73.000	  60.000	  58.000	  41.671	  83.511	SimA1	R	4	49	3	751
52150	0	3	75.000	  47.200	  60.000	  59.000	  85.922	  41.200	SimB1	R	4	50	1	169
52150	1	1	76.000	  47.355	  59.000	  61.000	  54.000	  66.648	SimB2	R	4	49	3	989
52150	1	2	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	2	51	2	523
52150	1	3	41.124	  89.000	  40.124	  78.732	  42.124	  74.471	Fill5	R	2	50	3	514
52150	1	4	46.579	  76.000	  59.000	  60.000	  41.579	  85.139	SimA1	R	1	51	3	461
52150	1	5	74.000	  48.635	  59.000	  61.000	  54.000	  66.648	SimB2	R	6	49	3	550
52150	1	6	48.739	  69.000	  46.739	  62.753	  50.739	  57.352	Fill4	R	2	49	1	624
52150	1	7	47.200	  75.000	  60.000	  59.000	  43.200	  81.944	SimA1	R	2	51	2	488
52150	1	8	77.000	  47.532	  74.000	  43.541	  79.000	  40.051	Fill2	R	2	49	1	491
52150	1	9	48.635	  74.000	  61.000	  59.000	  44.635	  80.632	SimA1	R	5	51	1	541
52150	1	10	74.000	  46.243	  59.000	  58.000	  55.000	  62.218	SimB2	R	5	49	2	578
52150	1	11	61.000	  60.000	  58.000	  55.638	  63.000	  51.000	Fill3	R	5	49	2	1278
52150	1	12	48.487	  78.000	  61.000	  62.000	  66.351	  57.000	SimA2	R	2	50	3	583
52150	1	13	76.000	  46.579	  59.000	  60.000	  54.000	  65.556	SimB2	R	2	49	1	507
52150	1	14	52.286	  70.000	  50.286	  62.901	  54.286	  58.487	Fill4	R	2	50	3	539
52150	1	15	77.000	  48.325	  61.000	  61.000	  56.000	  66.446	SimB2	R	1	49	1	593
52150	1	16	46.579	  76.000	  60.000	  59.000	  43.579	  81.232	SimA1	R	4	51	2	538
52150	1	17	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	557
52150	1	18	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	607
52150	1	19	60.000	  61.000	  57.000	  56.772	  63.000	  50.381	Fill3	R	2	49	1	578
52150	1	20	46.579	  76.000	  59.000	  60.000	  64.364	  55.000	SimA2	R	6	51	1	483
52150	1	21	90.000	  37.367	  87.000	  33.598	  91.000	  32.033	Fill1	R	3	50	1	917
52150	1	22	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	49	2	533
52150	1	23	75.000	  48.000	  60.000	  60.000	  80.000	  45.000	SimB1	R	5	50	3	470
52150	1	24	40.667	  90.000	  37.667	  82.726	  42.667	  73.523	Fill5	R	1	49	1	584
52150	1	25	48.487	  78.000	  61.000	  62.000	  44.487	  85.013	SimA1	R	6	50	2	922
52150	1	26	94.000	  38.936	  92.000	  35.283	  96.000	  33.698	Fill1	R	3	50	1	675
52150	1	27	78.000	  48.487	  61.000	  62.000	  57.000	  66.351	SimB2	R	4	49	3	1106
52150	1	28	77.000	  48.325	  61.000	  61.000	  85.886	  43.325	SimB1	R	1	51	3	2640
52150	1	29	45.789	  76.000	  58.000	  60.000	  40.789	  85.316	SimA1	R	5	50	3	1887
52150	1	30	46.579	  76.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	5	50	3	1654
52150	1	31	76.000	  47.368	  60.000	  60.000	  56.000	  64.286	SimB2	R	1	49	1	716
52150	1	32	47.200	  75.000	  60.000	  59.000	  63.214	  56.000	SimA2	R	5	50	3	1510
52150	1	33	46.877	  73.000	  59.000	  58.000	  62.218	  55.000	SimA2	R	5	50	3	621
52150	1	34	74.000	  46.243	  59.000	  58.000	  79.134	  43.243	SimB1	R	2	50	3	1032
52150	1	35	46.877	  73.000	  59.000	  58.000	  42.877	  79.810	SimA1	R	4	50	1	824
52150	1	36	76.000	  48.158	  75.000	  43.240	  77.000	  42.078	Fill2	R	5	51	1	1031
52150	1	37	47.705	  78.000	  61.000	  61.000	  44.705	  83.234	SimA1	R	1	51	3	693
52150	1	38	77.000	  45.974	  60.000	  59.000	  55.000	  64.364	SimB2	R	3	51	3	645
52150	1	39	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	1	49	1	604
52150	1	40	52.286	  70.000	  51.286	  62.669	  54.286	  58.358	Fill4	R	2	51	2	622
52150	1	41	46.141	  78.000	  59.000	  61.000	  62.052	  58.000	SimA2	R	5	50	3	760
52150	1	42	76.000	  48.132	  59.000	  62.000	  82.888	  44.132	SimB1	R	5	49	2	669
52150	1	43	72.000	  46.708	  70.000	  41.314	  75.000	  38.493	Fill2	R	5	50	3	573
52150	1	44	46.141	  78.000	  59.000	  61.000	  63.140	  57.000	SimA2	R	3	50	1	829
52150	1	45	76.000	  46.579	  60.000	  59.000	  55.000	  64.364	SimB2	R	5	50	3	460
52150	1	46	48.000	  75.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	2	51	2	816
52150	1	47	47.705	  78.000	  61.000	  61.000	  64.155	  58.000	SimA2	R	5	51	1	561
52150	1	48	46.141	  78.000	  59.000	  61.000	  43.141	  83.424	SimA1	R	4	49	3	1083
52150	1	49	47.506	  77.000	  59.000	  62.000	  64.175	  57.000	SimA2	R	2	51	2	486
52150	1	50	73.000	  47.671	  58.000	  60.000	  77.902	  44.671	SimB1	R	3	50	1	776
52150	1	51	76.000	  46.579	  59.000	  60.000	  85.139	  41.579	SimB1	R	5	51	1	320
52150	1	52	76.000	  47.355	  61.000	  59.000	  56.000	  64.268	SimB2	R	3	49	2	486
52150	1	53	61.000	  60.000	  60.000	  53.433	  62.000	  52.468	Fill3	R	3	51	3	382
52150	1	54	40.220	  91.000	  38.220	  82.078	  41.220	  75.546	Fill5	R	1	50	2	253
52150	1	55	57.000	  59.000	  55.000	  52.109	  58.000	  49.414	Fill3	R	4	49	3	179
52150	1	56	76.000	  47.368	  60.000	  60.000	  83.010	  43.368	SimB1	R	4	51	2	139
52150	1	57	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	3	49	2	622
52150	1	58	78.000	  48.487	  61.000	  62.000	  85.013	  44.487	SimB1	R	6	51	1	310
52150	1	59	76.000	  48.132	  59.000	  62.000	  55.000	  66.509	SimB2	R	3	50	1	746
52150	1	60	46.753	  77.000	  60.000	  60.000	  43.753	  82.280	SimA1	R	3	51	3	511
52150	1	61	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	6	49	3	943
52150	1	62	75.000	  48.800	  74.000	  44.000	  77.000	  42.221	Fill2	R	5	51	1	462
52150	1	63	75.000	  48.000	  60.000	  60.000	  81.818	  44.000	SimB1	R	5	50	3	1022
52150	1	64	48.635	  74.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	4	51	2	1175
52150	1	65	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	3	51	3	550
52150	1	66	45.789	  76.000	  58.000	  60.000	  61.053	  57.000	SimA2	R	5	49	2	860
52150	1	67	47.368	  76.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	3	50	1	795
52150	1	68	75.000	  48.000	  60.000	  60.000	  57.000	  63.158	SimB2	R	1	49	1	845
52150	1	69	37.787	  89.000	  35.787	  79.387	  38.787	  72.886	Fill5	R	1	51	3	584
52150	1	70	73.000	  47.671	  58.000	  60.000	  54.000	  64.444	SimB2	R	6	51	1	616
52150	1	71	76.000	  46.579	  60.000	  59.000	  81.232	  43.579	SimB1	R	4	49	3	471
52150	1	72	47.506	  77.000	  59.000	  62.000	  42.506	  86.057	SimA1	R	5	50	3	418
52150	1	73	91.000	  40.220	  89.000	  35.809	  93.000	  34.215	Fill1	R	3	51	3	426
52150	1	74	47.368	  76.000	  60.000	  60.000	  44.368	  81.139	SimA1	R	2	49	1	687
52150	1	75	94.000	  38.936	  92.000	  34.967	  97.000	  32.990	Fill1	R	4	51	2	253
52150	1	76	76.000	  47.355	  61.000	  59.000	  83.012	  43.355	SimB1	R	4	50	1	269
52150	1	77	46.753	  77.000	  60.000	  60.000	  64.286	  56.000	SimA2	R	4	49	3	458
52150	1	78	74.000	  48.635	  59.000	  61.000	  78.865	  45.635	SimB1	R	5	51	1	212
52150	1	79	46.753	  77.000	  60.000	  60.000	  41.753	  86.221	SimA1	R	4	50	1	275
52150	1	80	50.833	  72.000	  49.833	  64.977	  52.833	  60.681	Fill4	R	3	49	2	296
52150	2	1	48.158	  76.000	  61.000	  60.000	  65.357	  56.000	SimA2	R	4	50	1	1105
52150	2	2	60.000	  61.000	  59.000	  53.898	  63.000	  50.444	Fill3	R	1	50	2	63
52150	2	3	78.000	  46.141	  61.000	  59.000	  57.000	  63.140	SimB2	R	1	49	1	61
52150	2	4	91.000	  36.967	  89.000	  33.000	  94.000	  30.904	Fill1	R	4	49	3	26
52150	2	5	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	2	51	2	7
52150	2	6	77.000	  45.974	  60.000	  59.000	  86.396	  40.974	SimB1	R	4	49	3	167
52150	2	7	46.579	  76.000	  59.000	  60.000	  42.579	  83.140	SimA1	R	2	50	3	5
52150	2	8	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	1	51	3	7
52150	2	9	50.833	  72.000	  48.833	  65.877	  52.833	  60.379	Fill4	R	2	50	3	49
52150	2	10	76.000	  47.355	  59.000	  61.000	  84.972	  42.355	SimB1	R	6	51	1	7
52150	2	11	77.000	  46.753	  60.000	  60.000	  57.000	  63.158	SimB2	R	5	50	3	45
52150	2	12	46.753	  77.000	  60.000	  60.000	  63.158	  57.000	SimA2	R	3	49	2	103
52150	2	13	48.000	  75.000	  60.000	  60.000	  43.000	  83.721	SimA1	R	3	50	1	107
52150	2	14	46.141	  78.000	  59.000	  61.000	  42.141	  85.404	SimA1	R	3	50	1	9
52150	2	15	46.753	  77.000	  60.000	  60.000	  65.455	  55.000	SimA2	R	6	51	1	23
52150	2	16	77.000	  45.974	  60.000	  59.000	  57.000	  62.105	SimB2	R	1	50	2	19
52150	2	17	47.532	  77.000	  60.000	  61.000	  63.103	  58.000	SimA2	R	1	51	3	30
52150	2	18	62.000	  61.000	  60.000	  56.000	  65.000	  51.600	Fill3	R	2	50	3	72
52150	2	19	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	5	50	3	56
52150	2	20	95.000	  39.811	  93.000	  36.344	  98.000	  33.765	Fill1	R	3	51	3	100
52150	2	21	75.000	  47.987	  72.000	  43.819	  77.000	  41.545	Fill2	R	6	49	3	102
52150	2	22	47.705	  78.000	  61.000	  61.000	  65.281	  57.000	SimA2	R	2	49	1	134
52150	2	23	74.000	  46.243	  58.000	  59.000	  54.000	  63.370	SimB2	R	3	51	3	101
52150	2	24	53.268	  71.000	  52.268	  63.577	  54.268	  60.773	Fill4	R	3	49	2	32
52150	2	25	45.627	  75.000	  58.000	  59.000	  41.627	  82.207	SimA1	R	4	50	1	160
52150	2	26	41.560	  91.000	  39.560	  81.698	  42.560	  77.067	Fill5	R	4	49	3	92
52150	2	27	75.000	  48.800	  60.000	  61.000	  57.000	  64.211	SimB2	R	5	49	2	296
52150	2	28	76.000	  46.579	  59.000	  60.000	  56.000	  63.214	SimB2	R	1	51	3	235
52150	2	29	77.000	  46.753	  60.000	  60.000	  55.000	  65.455	SimB2	R	2	50	3	739
52150	2	30	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	3	49	2	354
52150	2	31	76.000	  48.961	  61.000	  61.000	  56.000	  66.446	SimB2	R	1	49	1	729
52150	2	32	44.577	  78.000	  57.000	  61.000	  41.577	  83.628	SimA1	R	4	51	2	474
52150	2	33	77.000	  47.532	  60.000	  61.000	  56.000	  65.357	SimB2	R	3	50	1	615
52150	2	34	46.923	  78.000	  60.000	  61.000	  65.357	  56.000	SimA2	R	5	49	2	354
52150	2	35	77.000	  46.753	  60.000	  60.000	  82.280	  43.753	SimB1	R	4	51	2	315
52150	2	36	39.989	  90.000	  36.989	  82.998	  40.989	  75.264	Fill5	R	2	49	1	630
52150	2	37	47.532	  77.000	  60.000	  61.000	  44.532	  82.187	SimA1	R	6	51	1	832
52150	2	38	47.987	  75.000	  61.000	  59.000	  66.648	  54.000	SimA2	R	3	51	3	501
52150	2	39	46.923	  78.000	  60.000	  61.000	  43.923	  83.327	SimA1	R	2	49	1	1001
52150	2	40	76.000	  47.355	  59.000	  61.000	  55.000	  65.436	SimB2	R	1	51	3	1031
52150	2	41	77.000	  47.532	  61.000	  60.000	  86.052	  42.532	SimB1	R	5	50	3	658
52150	2	42	46.753	  77.000	  60.000	  60.000	  42.753	  84.204	SimA1	R	4	49	3	756
52150	2	43	91.000	  39.549	  90.000	  35.178	  94.000	  33.032	Fill1	R	5	50	3	674
52150	2	44	75.000	  48.800	  60.000	  61.000	  83.562	  43.800	SimB1	R	2	49	1	1403
52150	2	45	76.000	  45.026	  59.000	  58.000	  54.000	  63.370	SimB2	R	4	50	1	716
52150	2	46	76.000	  48.961	  61.000	  61.000	  82.761	  44.961	SimB1	R	6	51	1	1143
52150	2	47	47.838	  74.000	  60.000	  59.000	  64.364	  55.000	SimA2	R	2	50	3	2306
52150	2	48	73.000	  47.630	  57.000	  61.000	  52.000	  66.865	SimB2	R	3	51	3	605
52150	2	49	46.877	  73.000	  59.000	  58.000	  43.877	  77.991	SimA1	R	3	51	3	445
52150	2	50	59.000	  61.000	  58.000	  53.776	  62.000	  50.081	Fill3	R	1	49	1	732
52150	2	51	76.000	  45.789	  60.000	  58.000	  57.000	  61.053	SimB2	R	4	50	1	1329
52150	2	52	46.400	  75.000	  60.000	  58.000	  65.660	  53.000	SimA2	R	4	51	2	500
52150	2	53	73.000	  47.630	  57.000	  61.000	  81.562	  42.630	SimB1	R	2	49	1	267
52150	2	54	77.000	  47.532	  60.000	  61.000	  86.052	  42.532	SimB1	R	1	50	2	280
